Date,BIL,SPY
2017-06-01,77.27812194824219,212.0772705078125
2017-07-01,77.30690002441406,217.49183654785156
2017-08-01,77.38302612304688,218.1263427734375
2017-09-01,77.43720245361328,221.42262268066406
2017-10-01,77.49308776855469,227.7650146484375
2017-11-01,77.5303955078125,234.7268524169922
2017-12-01,77.52188110351562,236.36546325683594
2018-01-01,77.74940490722656,250.96304321289062
2018-02-01,77.74092864990234,241.83799743652344
2018-03-01,77.8480453491211,234.2707977294922
2018-04-01,77.90679168701172,236.42465209960938
2018-05-01,78.0218276977539,242.1719207763672
2018-06-01,78.12166595458984,242.4758758544922
2018-07-01,78.22929382324219,252.58782958984375
2018-08-01,78.34648895263672,260.6504211425781
2018-09-01,78.45356750488281,261.0185241699219
2018-10-01,78.58055877685547,244.08096313476562
2018-11-01,78.72322082519531,248.60842895507812
2018-12-01,78.72325134277344,225.40264892578125
2019-01-01,79.13468933105469,244.87130737304688
2019-02-01,79.12602233886719,252.80899047851562
2019-03-01,79.27226257324219,256.2561950683594
2019-04-01,79.41963958740234,267.89971923828125
2019-05-01,79.58992767333984,250.8154754638672
2019-06-01,79.7326889038086,266.9703063964844
2019-07-01,79.88613891601562,272.3249206542969
2019-08-01,80.03026580810547,267.7652893066406
2019-09-01,80.1484375,271.7206115722656
2019-10-01,80.30443572998047,279.0094909667969
2019-11-01,80.3896255493164,289.1090393066406
2019-12-01,80.39749908447266,296.05377197265625
2020-01-01,80.6985855102539,297.38922119140625
2020-02-01,80.6985855102539,273.8460693359375
2020-03-01,80.87335968017578,238.24964904785156
2020-04-01,80.89730834960938,270.0822448730469
2020-05-01,80.9167251586914,282.9504089355469
2020-06-01,80.92909240722656,286.70672607421875
2020-07-01,80.93791961669922,304.9274597167969
2020-08-01,80.93791961669922,326.21038818359375
2020-09-01,80.92027282714844,312.7440185546875
2020-10-01,80.92909240722656,306.1669006347656
2020-11-01,80.92027282714844,339.4707946777344
2020-12-01,80.92027282714844,350.5533142089844
2021-01-01,80.92292022705078,348.4600524902344
2021-02-01,80.91405487060547,358.14910888671875
2021-03-01,80.90521240234375,373.1866149902344
2021-04-01,80.90521240234375,394.21905517578125
2021-05-01,80.89636993408203,396.8074035644531
2021-06-01,80.87870025634766,404.3839416503906
2021-07-01,80.86984252929688,415.6111755371094
2021-08-01,80.86099243164062,427.979736328125
2021-09-01,80.86984252929688,406.73046875
2021-10-01,80.86099243164062,436.6625671386719
2021-11-01,80.84330749511719,433.1540222167969
2021-12-01,80.84330749511719,451.5998840332031
2022-01-01,80.84330749511719,429.2847900390625
2022-02-01,80.82563018798828,416.6136474609375
2022-03-01,80.84330749511719,430.9356384277344
2022-04-01,80.85394287109375,394.3340148925781
2022-05-01,80.8804702758789,395.2241516113281
2022-06-01,80.91585540771484,361.0740966796875
2022-07-01,80.92557525634766,396.02777099609375
2022-08-01,81.04332733154297,379.8691101074219
2022-09-01,81.17365264892578,343.3414306640625
2022-10-01,81.28820037841797,372.7716369628906
2022-11-01,81.49711608886719,393.49456787109375
2022-12-01,81.5044174194336,369.1231384277344
2023-01-01,82.2118148803711,394.137939453125
2023-02-01,82.19389343261719,384.2283020019531
2023-03-01,82.59503936767578,396.9596252441406
2023-04-01,82.78925323486328,404.8402404785156
2023-05-01,83.11695098876953,406.70904541015625
2023-06-01,83.48335266113281,431.46099853515625
2023-07-01,83.803955078125,447.2392883300781
2023-08-01,84.20076751708984,439.97076416015625
2023-09-01,84.52688598632812,417.6278991699219
2023-10-01,84.90121459960938,410.00286865234375
2023-11-01,85.28567504882812,447.4541015625
2023-12-01,85.2465591430664,465.99346923828125
2024-01-01,86.39968872070312,475.3345031738281
2024-02-01,86.39968872070312,500.1407470703125
2024-03-01,86.80250549316406,514.896484375
2024-04-01,87.13005065917969,495.6713562011719
2024-05-01,87.54475402832031,520.7421875
2024-06-01,87.87809753417969,537.3804321289062
2024-07-01,88.28665924072266,545.6422729492188
2024-08-01,88.6846694946289,558.3915405273438
2024-09-01,89.0650405883789,568.3770141601562
2024-10-01,89.44107818603516,565.0328979492188
2024-11-01,89.78440856933594,598.7277221679688
2024-12-01,89.79317474365234,582.3621826171875
2025-01-01,90.8170166015625,600.0150146484375
2025-02-01,90.78732299804688,592.39794921875
2025-03-01,91.12098693847656,557.7122802734375
2025-04-01,91.62999725341797,526.4099731445312
